SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,3,1617,3624,V=035,S=0448,VL
2,3,1617,4151,V=037,S=0412,VL
2,3,1617,4172,V=036,S=0156,2R
2,3,1617,4583,V=034,S=0457,VL
2,3,1618,420,V=040,S=0435,VL
2,3,1618,771,V=035,S=0606,VL
2,3,1618,1182,V=040,S=0451,VL
2,3,1618,1676,V=038,S=0535,VL
2,3,1618,3504,V=036,S=0516,VL
2,3,1618,3935,V=041,S=0179,2R
2,3,1618,5447,V=037,S=0484,VL
2,3,1619,552,V=038,S=0426,VL
2,3,1619,1657,V=026,S=0624,VL
2,3,1619,1845,V=029,S=0780,VL
2,3,1619,2077,V=029,S=0726,VL
2,3,1619,2510,V=030,S=0425,VL
2,3,1619,2726,V=033,S=0407,VL
2,3,1619,3054,V=037,S=0469,VL
2,3,1619,3649,V=040,S=0673,VL
2,3,1619,4665,V=044,S=0402,VL
2,3,1619,5003,V=044,S=0477,VL
2,3,1619,5349,V=044,S=0471,VL
2,3,1619,5694,V=042,S=0400,VL
2,3,1620,365,V=044,S=0399,VL
2,3,1620,1144,V=053,S=0173,2R
2,3,1620,2409,V=034,S=0361,VL
2,3,1620,2652,V=037,S=0427,VL
2,3,1620,2877,V=036,S=0487,VL
2,3,1620,3105,V=036,S=0283,VL
2,3,1620,3255,V=039,S=0408,VL
2,3,1620,3657,V=041,S=0382,VL
2,3,1620,4087,V=045,S=0427,VL
2,3,1620,4457,V=036,S=0464,VL
2,3,1620,4951,V=032,S=0517,VL
2,3,1620,5167,V=045,S=0480,VL
2,3,1621,216,V=033,S=0776,VL
2,3,1621,2033,V=038,S=0392,VL
2,3,1621,2232,V=035,S=0430,VL
2,3,1621,3006,V=041,S=0566,VL
2,3,1621,3493,V=033,S=0482,VL
2,3,1621,3664,V=032,S=0395,VL
2,3,1621,4109,V=031,S=0451,VL
2,3,1621,4346,V=031,S=0503,VL
2,3,1621,5138,V=035,S=0408,VL
2,3,1621,5684,V=032,S=0453,VL
2,3,1621,5817,V=031,S=0277,VL
2,3,1622,591,V=039,S=0437,VL
2,3,1622,2255,V=024,S=0414,VL
2,3,1622,2472,V=024,S=0394,VL
2,3,1622,2680,V=025,S=0401,VL
2,3,1622,2712,V=024,S=0158,2R
