ID,Catégorie,Horodate,Entrant,Sortant
1938,VL,2022/10/04 14:23:25.546,,x
101067,VL,2022/10/04 14:23:39.746,x,
1950,VELO,2022/10/04 14:25:13.679,,x
1951,VL,2022/10/04 14:25:33.814,,x
1952,VELO,2022/10/04 14:26:43.347,,x
101079,VELO,2022/10/04 14:27:31.812,x,
1957,VELO,2022/10/04 14:27:38.013,,x
1958,VL,2022/10/04 14:27:41.081,,x
101081,UT,2022/10/04 14:27:45.413,x,
1962,EDPM,2022/10/04 14:29:30.012,,x
1984,VL,2022/10/04 14:30:27.210,,x
1985,VELO,2022/10/04 14:31:29.412,,x
1989,VELO,2022/10/04 14:32:25.409,,x
1990,VELO,2022/10/04 14:32:47.009,,x
1991,VELO,2022/10/04 14:33:36.879,,x
1992,VL,2022/10/04 14:34:00.543,,x
1993,UT,2022/10/04 14:34:19.876,,x
101099,UT,2022/10/04 14:34:33.341,x,
2007,VELO,2022/10/04 14:36:03.807,x,
2017,VL,2022/10/04 14:37:54.940,,x
2018,VL,2022/10/04 14:38:13.806,,x
101106,VELO,2022/10/04 14:38:47.937,x,
101108,VELO,2022/10/04 14:38:49.336,x,
101113,VL,2022/10/04 14:43:55.534,x,
2048,VELO,2022/10/04 14:47:52.868,,x
101127,VL,2022/10/04 14:48:47.865,x,
101129,VL,2022/10/04 14:49:27.532,x,
2051,UT,2022/10/04 14:50:14.667,,x
101130,VELO,2022/10/04 14:50:28.399,x,
2054,VL,2022/10/04 14:51:17.798,,x
101131,VL,2022/10/04 14:52:45.397,x,
2069,VELO,2022/10/04 14:57:20.328,,x
101148,VL,2022/10/04 14:58:12.260,x,
101150,VELO,2022/10/04 14:58:43.793,x,
2074,VL,2022/10/04 14:59:32.460,,x
101151,VL,2022/10/04 14:59:55.459,x,
2076,UT,2022/10/04 15:00:33.728,,x
101159,VELO,2022/10/04 15:02:42.057,,x
2080,PL_1,2022/10/04 15:03:28.324,,x
101166,VELO,2022/10/04 15:04:13.856,x,
101168,VELO,2022/10/04 15:04:49.258,x,
2098,VELO,2022/10/04 15:05:26.790,,x
101174,VL,2022/10/04 15:05:59.386,x,
2105,VL,2022/10/04 15:07:32.187,,x
101176,VELO,2022/10/04 15:07:59.189,,x
101178,VELO,2022/10/04 15:08:02.256,,x
101180,PL_2,2022/10/04 15:08:28.252,x,
2112,VELO,2022/10/04 15:09:00.320,,x
2113,VELO,2022/10/04 15:09:23.120,,x
2126,VELO,2022/10/04 15:11:20.653,,x
101186,VL,2022/10/04 15:11:30.184,x,
101190,VELO,2022/10/04 15:12:17.185,x,
2129,VELO,2022/10/04 15:12:17.651,x,
2132,VL,2022/10/04 15:12:46.385,,x
101194,VELO,2022/10/04 15:13:39.453,x,
2134,VELO,2022/10/04 15:13:49.584,x,
2147,VL,2022/10/04 15:16:38.451,,x
2148,VELO,2022/10/04 15:16:45.583,x,
101198,VL,2022/10/04 15:18:13.448,x,
101199,VL,2022/10/04 15:18:15.849,x,
2152,VL,2022/10/04 15:18:31.515,,x
101206,VELO,2022/10/04 15:18:57.582,x,
101211,VELO,2022/10/04 15:20:00.181,,x
101214,VL,2022/10/04 15:20:43.784,x,
2161,VL,2022/10/04 15:20:46.115,,x
2163,VELO,2022/10/04 15:20:54.845,,x
2164,VELO,2022/10/04 15:20:57.045,x,
2177,VL,2022/10/04 15:21:27.581,,x
2178,VL,2022/10/04 15:22:11.979,,x
2181,VELO,2022/10/04 15:22:17.648,,x
2183,VL,2022/10/04 15:22:31.046,,x
2184,VELO,2022/10/04 15:22:54.578,,x
2185,VL,2022/10/04 15:22:58.513,,x
2187,VL,2022/10/04 15:23:34.515,,x
2189,VELO,2022/10/04 15:24:06.445,,x
2206,VL,2022/10/04 15:25:57.778,,x
2217,VELO,2022/10/04 15:26:27.910,,x
2218,VL,2022/10/04 15:26:41.176,,x
2219,VL,2022/10/04 15:27:10.777,,x
2221,PL_1,2022/10/04 15:27:18.441,,x
2223,VL,2022/10/04 15:27:23.976,,x
101236,VL,2022/10/04 15:27:37.309,x,
101237,VL,2022/10/04 15:27:42.043,x,
2226,VL,2022/10/04 15:28:17.843,,x
101238,VELO,2022/10/04 15:28:30.845,x,
2251,VL,2022/10/04 15:28:31.842,,x
2270,VELO,2022/10/04 15:28:57.377,,x
2279,VELO,2022/10/04 15:29:27.308,,x
2281,VELO,2022/10/04 15:29:29.642,,x
2301,VL,2022/10/04 15:30:07.574,,x
101243,VELO,2022/10/04 15:30:16.975,x,
2305,VL,2022/10/04 15:30:17.975,,x
101244,VL,2022/10/04 15:30:29.505,x,
2313,VELO,2022/10/04 15:30:46.707,x,
2328,VL,2022/10/04 15:31:42.839,,x
101252,EDPM,2022/10/04 15:31:47.440,x,
101255,VL,2022/10/04 15:32:07.107,x,
2330,VL,2022/10/04 15:32:10.907,,x
2337,VELO,2022/10/04 15:32:59.238,,x
2340,VELO,2022/10/04 15:33:03.906,,x
2344,VELO,2022/10/04 15:33:31.498,,x
101267,VELO,2022/10/04 15:33:32.431,x,
2347,VL,2022/10/04 15:33:42.867,,x
2348,VELO,2022/10/04 15:34:02.828,,x
2349,VELO,2022/10/04 15:34:07.297,,x
2350,VELO,2022/10/04 15:34:24.631,,x
2355,VELO,2022/10/04 15:34:25.831,x,
