SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1610,723,V=035,S=0458,VL
1,3,1610,939,V=041,S=0472,VL
1,3,1610,1142,V=042,S=0478,VL
1,3,1610,1319,V=042,S=0504,VL
1,3,1610,3202,V=052,S=0746,VL
1,3,1611,137,V=051,S=0471,VL
1,3,1611,398,V=052,S=0513,VL
1,3,1611,910,V=049,S=0488,VL
1,3,1611,1261,V=046,S=0589,VL
1,3,1611,1693,V=042,S=0493,VL
1,3,1611,1982,V=049,S=0468,VL
1,3,1611,3533,V=038,S=1052,PL
1,3,1611,3584,V=038,S=0555,VL
1,3,1611,3671,V=036,S=0264,VL
1,3,1611,3986,V=036,S=0499,VL
1,3,1611,4204,V=042,S=0561,VL
1,3,1611,4403,V=041,S=0439,VL
1,3,1611,4729,V=042,S=0539,VL
1,3,1611,5513,V=044,S=0443,VL
1,3,1612,268,V=040,S=0498,VL
1,3,1612,620,V=042,S=0484,VL
1,3,1612,2492,V=037,S=0506,VL
1,3,1612,4056,V=052,S=0512,VL
