ID,Catégorie,Horodate,détection de départ,détection de sortie,REMARQUE
9904,MOTO,2022/10/07 07:49:37.397,E,S1,
9905,VL,2022/10/07 07:49:37.881,E,S2,
9906,VL,2022/10/07 07:49:42.247,E,S2,
9909,VL,2022/10/07 07:49:46.614,E,S2,
9915,VL,2022/10/07 07:50:02.430,E,S2,
9921,VL,2022/10/07 07:50:16.881,E,S2,
9935,VL,2022/10/07 07:50:30.000,E,S2,
9942,VL,2022/10/07 07:50:47.413,E,S2,
9943,VELO,2022/10/07 07:50:47.813,E,S2,
9951,VL,2022/10/07 07:51:01.464,E,S2,
9964,VL,2022/10/07 07:51:32.734,S2,E,
9998,VELO,2022/10/07 07:52:48.982,E,S2,
10003,VL,2022/10/07 07:53:01.349,E,S2,
10009,VL,2022/10/07 07:53:09.700,E,S2,
10015,VL,2022/10/07 07:53:17.466,E,S3,
10018,VL,2022/10/07 07:53:31.281,E,S2,
10033,VL,2022/10/07 07:53:53.097,E,S2,
10035,VL,2022/10/07 07:54:11.399,E,S2,
10060,VL,2022/10/07 07:54:35.044,E,S2,
10080,VL,2022/10/07 07:55:13.215,S2,E,
10089,UT,2022/10/07 07:55:20.500,E,S2,
