Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
16/10/22,12:29,4,74,53,VL,1,269,,,,
16/10/22,12:31,21,38,22,V�lo �lectrique,13,102,,,,
16/10/22,12:32,38,18,44,VL,1,257,,,,
16/10/22,12:32,42,61,51,VL,1,256,,,,
16/10/22,12:35,43,48,47,VL,1,270,,,,
16/10/22,12:36,21,0,47,VL,1,246,,,,
16/10/22,12:38,21,34,42,VL,1,244,,,,
16/10/22,12:38,24,6,42,VL,1,256,,,,
16/10/22,12:40,20,16,45,VL,1,243,,,,
16/10/22,12:40,32,22,43,Bus articul�,14,540,694,,,
16/10/22,12:40,37,46,47,VL,1,242,,,,
16/10/22,12:40,41,24,54,VL,1,268,,,,
16/10/22,12:41,23,52,61,VL,1,284,,,,
16/10/22,12:42,10,59,32,VL,1,256,,,,
16/10/22,12:43,24,40,44,VL,1,256,,,,
16/10/22,12:43,28,13,55,VL,1,244,,,,
16/10/22,12:45,12,45,50,VL,1,270,,,,
16/10/22,12:45,15,79,49,VL,1,257,,,,
16/10/22,12:47,6,60,54,VL,1,245,,,,
16/10/22,12:53,49,15,45,VL,1,245,,,,
16/10/22,12:54,25,15,34,VL,1,230,,,,
16/10/22,12:56,6,78,54,VL,1,245,,,,
16/10/22,12:57,47,7,58,VL,1,283,,,,
16/10/22,12:58,20,19,48,VL,1,270,,,,
16/10/22,12:58,28,96,38,VL,1,258,,,,
16/10/22,12:59,40,85,42,VL,1,244,,,,
16/10/22,13:1,13,36,43,VL,1,269,,,,
16/10/22,13:1,17,27,51,VL,1,282,,,,
16/10/22,13:4,17,91,40,VL,1,243,,,,
16/10/22,13:4,22,80,42,VL,1,231,,,,
16/10/22,13:4,49,95,51,VL,1,374,,,,
16/10/22,13:4,59,5,45,VL,1,257,,,,
16/10/22,13:5,1,25,41,VL,1,269,,,,
16/10/22,13:8,22,1,43,VL,1,242,,,,
16/10/22,13:8,48,56,64,VL,1,269,,,,
16/10/22,13:10,14,65,39,2RM,13,115,,,,
16/10/22,13:10,29,71,43,VL,1,270,,,,
16/10/22,13:10,54,61,57,VL,1,296,,,,
16/10/22,13:11,52,32,59,VL,1,258,,,,
16/10/22,13:11,54,67,56,VL,1,298,,,,
16/10/22,13:12,54,83,54,VL,1,245,,,,
16/10/22,13:13,7,31,58,VL,1,269,,,,
16/10/22,13:13,25,71,73,VL,1,269,,,,
16/10/22,13:14,40,12,59,VL,1,258,,,,
16/10/22,13:15,3,77,36,VL,1,258,,,,
16/10/22,13:15,52,78,67,VL,1,260,,,,
16/10/22,13:16,10,70,50,VL,1,257,,,,
16/10/22,13:17,9,6,49,VL,1,272,,,,
16/10/22,13:17,13,21,48,VL,1,256,,,,
16/10/22,13:17,20,15,52,VL,1,231,,,,
16/10/22,13:17,54,39,38,VL,2,439,,,,
16/10/22,13:18,28,80,38,VL,1,268,,,,
16/10/22,13:19,39,74,56,VL,1,244,,,,
16/10/22,13:21,7,20,43,VL,1,269,,,,
16/10/22,13:21,28,57,47,VL,1,193,,,,
16/10/22,13:21,45,55,49,VL,1,268,,,,
16/10/22,13:22,34,85,43,VL,1,244,,,,
16/10/22,13:23,44,46,46,VL,1,268,,,,
16/10/22,13:26,3,23,35,VL,1,256,,,,
16/10/22,13:28,44,83,49,VL,1,258,,,,
16/10/22,13:31,13,97,39,VL,1,243,,,,
16/10/22,13:31,59,75,35,VL,1,257,,,,
16/10/22,13:32,3,34,43,VL,1,244,,,,
16/10/22,13:33,50,79,65,VL,1,256,,,,
16/10/22,13:34,25,63,41,Bus articul�,14,514,682,,,
16/10/22,13:36,10,63,31,2RM,13,114,,,,
16/10/22,13:39,41,86,59,VL,1,283,,,,
16/10/22,13:41,26,26,38,VL,1,257,,,,
16/10/22,13:42,55,51,30,VL,1,294,,,,
16/10/22,13:44,2,79,57,VL,1,259,,,,
16/10/22,13:44,4,85,59,VL,1,258,,,,
16/10/22,13:44,57,75,46,VL,1,257,,,,
16/10/22,13:50,26,19,46,VL,1,269,,,,
16/10/22,13:53,28,50,43,VL,1,255,,,,
16/10/22,13:53,57,93,55,VL,1,255,,,,
16/10/22,13:54,13,86,53,VL,1,258,,,,
16/10/22,13:54,29,85,44,VL,1,256,,,,
16/10/22,13:55,52,90,44,VL,1,281,,,,
16/10/22,13:57,19,98,47,VL,1,257,,,,
16/10/22,13:59,56,28,41,VL,1,230,,,,
16/10/22,14:0,51,3,53,VL,1,246,,,,
16/10/22,14:1,29,94,54,VL,1,231,,,,
16/10/22,14:3,28,89,35,VL,1,360,,,,
16/10/22,14:5,23,23,41,VL,1,245,,,,
16/10/22,14:8,5,95,45,Bus articul�,14,516,671,,,
16/10/22,14:8,31,74,48,VL,1,270,,,,
16/10/22,14:11,31,43,48,VL,1,281,,,,
16/10/22,14:11,46,1,46,VL,1,230,,,,
16/10/22,14:12,20,92,40,VL,1,256,,,,
16/10/22,14:14,7,11,38,VL,1,256,,,,
16/10/22,14:14,31,57,64,VL,1,255,,,,
16/10/22,14:14,42,4,59,VL,1,245,,,,
16/10/22,14:16,30,14,49,VL,1,268,,,,
16/10/22,14:17,25,52,44,VL,1,269,,,,
16/10/22,14:17,36,38,36,VL,1,256,,,,
16/10/22,14:19,43,45,56,VL,1,245,,,,
16/10/22,14:21,37,74,45,VL,1,243,,,,
16/10/22,14:23,20,65,51,VL,1,254,,,,
16/10/22,14:26,39,14,31,VL,1,256,,,,
16/10/22,14:28,2,65,47,VL,1,347,,,,
16/10/22,14:30,16,18,41,VL,1,242,,,,
16/10/22,14:30,18,17,40,VL,1,243,,,,
16/10/22,14:32,28,42,57,VL,1,282,,,,
16/10/22,14:34,22,75,45,VL,1,242,,,,
16/10/22,14:41,9,81,57,VL,1,259,,,,
16/10/22,14:41,34,15,46,VL,1,258,,,,
16/10/22,14:42,18,10,49,VL,1,256,,,,
16/10/22,14:44,20,62,43,VL,1,245,,,,
16/10/22,14:44,21,98,44,VL,1,243,,,,
16/10/22,14:44,34,40,57,VL,1,295,,,,
16/10/22,14:45,6,76,36,Bus articul�,14,541,683,,,
16/10/22,14:45,28,36,46,VL,1,193,,,,
16/10/22,14:45,35,6,36,VL,1,243,,,,
16/10/22,14:46,34,56,48,VL,1,282,,,,
16/10/22,14:48,23,28,51,VL,1,270,,,,
16/10/22,14:48,47,30,39,VL,1,243,,,,
16/10/22,14:52,14,40,39,VL,1,230,,,,
16/10/22,14:52,21,95,45,VL,1,257,,,,
16/10/22,14:55,11,54,52,VL,1,321,,,,
16/10/22,14:56,14,97,46,VL,1,320,,,,
16/10/22,14:56,45,93,54,VL,1,245,,,,
